time,PERIMETER-HEAD,PERIMETER-HEADS
459.0000000000,.3000000000000000E+31,-3643772.477140390
460.0000000000,.3000000000000000E+31,-3444509.461435738
461.0000000000,.3000000000000000E+31,-3432231.460300664
462.0000000000,.3000000000000000E+31,-3427841.037129026
463.0000000000,.3000000000000000E+31,-3417708.871355730
464.0000000000,.3000000000000000E+31,-3401245.421755925
465.0000000000,.3000000000000000E+31,-3386887.367720221
466.0000000000,.3000000000000000E+31,-3402832.724765648
467.0000000000,.3000000000000000E+31,-3373968.498918707
468.0000000000,.3000000000000000E+31,-3360673.552392727
469.0000000000,.3000000000000000E+31,-3373691.068698489
470.0000000000,.3000000000000000E+31,-4678178.245315743
471.0000000000,.3000000000000000E+31,-5478797.518623799
472.0000000000,.3000000000000000E+31,-3594937.379108032
473.0000000000,.3000000000000000E+31,-3552516.545539002
474.0000000000,.3000000000000000E+31,-3596399.460965685
475.0000000000,.3000000000000000E+31,-3525120.449978374
476.0000000000,.3000000000000000E+31,-3511276.049312402
477.0000000000,.3000000000000000E+31,-3497387.328379349
478.0000000000,.3000000000000000E+31,-3483911.188689540
479.0000000000,.3000000000000000E+31,-3473138.621135697
480.0000000000,.3000000000000000E+31,-3491465.439083393
481.0000000000,.3000000000000000E+31,-3460889.205796687
482.0000000000,.3000000000000000E+31,-3605944.339903723
483.0000000000,.3000000000000000E+31,-3442459.421270967
484.0000000000,.3000000000000000E+31,-3457251.993035134
485.0000000000,.3000000000000000E+31,-3431962.037995519
486.0000000000,.3000000000000000E+31,-3460416.902541434
487.0000000000,.3000000000000000E+31,-3444579.999703058
488.0000000000,.3000000000000000E+31,-3435336.136091581
489.0000000000,.3000000000000000E+31,-3464800.652752609
490.0000000000,.3000000000000000E+31,-3437507.136466029
491.0000000000,.3000000000000000E+31,-3414583.849554366
492.0000000000,.3000000000000000E+31,-3402299.331619089
493.0000000000,.3000000000000000E+31,-3426427.201011922
494.0000000000,.3000000000000000E+31,-3401272.063537968
495.0000000000,.3000000000000000E+31,-3428500.387750479
496.0000000000,.3000000000000000E+31,-3381546.386386436
497.0000000000,.3000000000000000E+31,-3410805.026258810
498.0000000000,.3000000000000000E+31,-3364861.310010838
499.0000000000,.3000000000000000E+31,-3394824.683869365
500.0000000000,.3000000000000000E+31,-3352199.581325367
501.0000000000,.3000000000000000E+31,-3397854.318741781
502.0000000000,.3000000000000000E+31,-3362312.810363226
503.0000000000,.3000000000000000E+31,-3328365.016920846
504.0000000000,.3000000000000000E+31,-3893086.559749697
505.0000000000,.3000000000000000E+31,-3329164.583705012
506.0000000000,.3000000000000000E+31,-3316657.555807432
507.0000000000,.3000000000000000E+31,-3307263.749785217
508.0000000000,.3000000000000000E+31,-3296376.528213384
509.0000000000,.3000000000000000E+31,-3292494.325992960
510.0000000000,.3000000000000000E+31,-3332881.252399828
511.0000000000,.3000000000000000E+31,-3295104.817703187
512.0000000000,.3000000000000000E+31,-3327857.438065471
513.0000000000,.3000000000000000E+31,-3286605.998881793
514.0000000000,.3000000000000000E+31,-3310899.411101313
515.0000000000,.3000000000000000E+31,-3269279.688440584
516.0000000000,.3000000000000000E+31,-3294972.764947005
517.0000000000,.3000000000000000E+31,-3229987.546521680
518.0000000000,.3000000000000000E+31,-3209729.977661250
519.0000000000,.3000000000000000E+31,-3224627.935322381
520.0000000000,.3000000000000000E+31,-3298821.568619809
521.0000000000,.3000000000000000E+31,-3198770.321856811
522.0000000000,.3000000000000000E+31,-3188792.570423415
523.0000000000,.3000000000000000E+31,-3176971.925649549
524.0000000000,.3000000000000000E+31,-3167918.237621473
525.0000000000,.3000000000000000E+31,-3163650.938149243
526.0000000000,.3000000000000000E+31,-3159403.024841553
