total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
639,407.0000000000000,43,1,4,2,-.5904816990919670E-01,1,,5198
657,408.0000000000000,44,1,1,18,-5.731856780502546,1,,2480
661,408.0000000000000,44,1,2,4,-.8669774980550979,1,,35940
663,408.0000000000000,44,1,3,2,.1572804963497276,1,,8301
667,408.0000000000000,44,1,4,4,.3239585380465293E-01,1,,4049
679,409.0000000000000,45,1,1,12,-.8297004634334879,1,,5367
681,409.0000000000000,45,1,2,2,-.5093516231521722,1,,5198
683,409.0000000000000,45,1,3,2,.2230428827230035E-01,1,,3965
696,410.0000000000000,46,1,1,13,.9950503888359989,1,,5606
699,410.0000000000000,46,1,2,3,.2214762052171064,1,,3965
702,410.0000000000000,46,1,3,3,.1493761258316617E-01,1,,186783
711,411.0000000000000,47,1,1,9,-.5409900183976859,1,,3713
714,411.0000000000000,47,1,2,3,-.3406471438017533E-01,1,,186523
725,412.0000000000000,48,1,1,11,-.3900243726995605,1,,5606
727,412.0000000000000,48,1,2,2,.6702327599072477E-01,1,,2407
744,413.0000000000000,49,1,1,17,1.387564994915010,1,,5606
747,413.0000000000000,49,1,2,3,.3442813796221058,1,,2407
750,413.0000000000000,49,1,3,3,-.4454858666050043E-01,1,,5952
761,414.0000000000000,50,1,1,11,-.3614443792600639,1,,5606
764,414.0000000000000,50,1,2,3,.3732146449935314E-01,1,,3534
773,415.0000000000000,51,1,1,9,-.6366542985878958,1,,5606
777,415.0000000000000,51,1,2,4,-.1145173605638163,1,,8548
779,415.0000000000000,51,1,3,2,.2703310308093609E-01,1,,2586
786,416.0000000000000,52,1,1,7,-.5339965316404580,1,,5606
792,416.0000000000000,52,1,2,6,-.4958407632057877,1,,7723
794,416.0000000000000,52,1,3,2,.3527840286992978E-01,1,,2407
801,417.0000000000000,53,1,1,7,-.9458941932730163,1,,7723
804,417.0000000000000,53,1,2,3,-.8025220644871922E-01,1,,8918
811,418.0000000000000,54,1,1,7,-.1517655977007486,1,,5870
814,418.0000000000000,54,1,2,3,-.6605352922377605E-01,1,,21240
823,419.0000000000000,55,1,1,9,.8823189352100691,1,,7723
826,419.0000000000000,55,1,2,3,-.1053006890834070,1,,9006
828,419.0000000000000,55,1,3,2,.4204863127083769E-01,1,,7723
842,420.0000000000000,56,1,1,14,3.847843150422666,1,,7723
849,420.0000000000000,56,1,2,7,-3.048846267179798,1,,7723
852,420.0000000000000,56,1,3,3,-1.158481463261040,1,,7723
854,420.0000000000000,56,1,4,2,-.2785311187482158,1,,7723
856,420.0000000000000,56,1,5,2,.7443195676271230E-01,1,,7722
870,421.0000000000000,57,1,1,14,1.122795479773431,1,,2407
876,421.0000000000000,57,1,2,6,.5018202350428211,1,,4819
878,421.0000000000000,57,1,3,2,-.8833623997274920E-01,1,,35943
891,422.0000000000000,58,1,1,13,-2.796469774532763,1,,5606
898,422.0000000000000,58,1,2,7,.4781806349206037,1,,2496
900,422.0000000000000,58,1,3,2,.1414179857946536,1,,2496
902,422.0000000000000,58,1,4,2,.2851884419527106E-01,1,,2496
911,423.0000000000000,59,1,1,9,-.3854372938294652,1,,20823
914,423.0000000000000,59,1,2,3,-.3358434828632255,1,,36531
915,423.0000000000000,59,1,3,1,-.6315414657247942E-02,1,,52642
922,424.0000000000000,60,1,1,7,-.2167691420340603,1,,8136
925,424.0000000000000,60,1,2,3,-.5975711840169851E-01,1,,52713
945,425.0000000000000,61,1,1,20,8.081408653193925,1,,2394
955,425.0000000000000,61,1,2,10,3.486695799429245,1,,2407
960,425.0000000000000,61,1,3,5,-.8125610992381667,1,,8136
962,425.0000000000000,61,1,4,2,-.1463583486863982,1,,8136
964,425.0000000000000,61,1,5,2,.5073734448050971E-01,1,,8135
975,426.0000000000000,62,1,1,11,2.222620739278137,1,,2500
984,426.0000000000000,62,1,2,9,.7790059191379761,1,,4132
986,426.0000000000000,62,1,3,2,-.1082375943589522,1,,3811
988,426.0000000000000,62,1,4,2,-.2060098732380666E-01,1,,3811
1007,427.0000000000000,63,1,1,19,-7.241145922103430,1,,2480
1012,427.0000000000000,63,1,2,5,-1.622078570672620,1,,6711
1015,427.0000000000000,63,1,3,3,.3207857242477159,1,,2498
1017,427.0000000000000,63,1,4,2,.1127047268960881,1,,2500
1020,427.0000000000000,63,1,5,3,-.1691462992331694E-01,1,,203836
1032,428.0000000000000,64,1,1,12,-.9430803409004085,1,,8953
1034,428.0000000000000,64,1,2,2,-.7507127478941236,1,,21498
1036,428.0000000000000,64,1,3,2,.1298593136821111,1,,9007
1038,428.0000000000000,64,1,4,2,.3893743422929674E-01,1,,9007
1047,429.0000000000000,65,1,1,9,-.4515993969751406,1,,8792
1049,429.0000000000000,65,1,2,2,-.4949732689585424,1,,6039
1052,429.0000000000000,65,1,3,3,.7677154470096070E-01,1,,9098
1059,430.0000000000000,66,1,1,7,-.3067018908300980,1,,6796
1062,430.0000000000000,66,1,2,3,-.3221391303349037,1,,5954
1064,430.0000000000000,66,1,3,2,.2080956641981402E-01,1,,8383
1078,431.0000000000000,67,1,1,14,5.318602510534401,1,,5773
1086,431.0000000000000,67,1,2,8,1.796800514591719,1,,2496
1088,431.0000000000000,67,1,3,2,-.3912227337420369,1,,36194
1090,431.0000000000000,67,1,4,2,-.7770009665827615E-01,1,,36194
