time,USGS_S_2040,USGS_S_2048,USGS_S_2063,USGS_S_2106,USGS_S_2119,USGS_S_2123,USGS_S_2157,USGS_S_2178,USGS_S_2219,USGS_S_2232,USGS_S_2233,USGS_S_2491,USGS_S_2493,USGS_S_2499,USGS_S_2500,USGS_S_2504,USGS_S_2505,USGS_S_2512,USGS_S_2513,USGS_S_2530
452.0000000000,-18732.50000000000,-17611.30000000000,-25757.20000000000,-89816.10000000001,-140891.0000000000,-24191.90000000000,-26154.00000000000,-8197.639999999999,-10405.50000000000,-11017.90000000000,.000000000000000,-629.5920000000000,-1138.440000000000,-12475.40000000000,-7188.560000000000,.000000000000000,.000000000000000,-6813.400000000000,-9159.270000000000,-44852.00000000000
453.0000000000,-18732.50000000000,-17611.30000000000,-25757.20000000000,-89816.10000000001,-140891.0000000000,-24191.90000000000,-26154.00000000000,-8197.639999999999,-10405.50000000000,-11017.90000000000,.000000000000000,-629.5920000000000,-1138.440000000000,-12475.40000000000,-7188.560000000000,.000000000000000,.000000000000000,-6813.400000000000,-9159.270000000000,-44852.00000000000
454.0000000000,-18732.50000000000,-17611.30000000000,-25757.20000000000,-89816.10000000001,-140891.0000000000,-24191.90000000000,-26154.00000000000,-8197.639999999999,-10405.50000000000,-11017.90000000000,.000000000000000,-629.5920000000000,-1138.440000000000,-12475.40000000000,-7188.560000000000,.000000000000000,.000000000000000,-6813.400000000000,-9159.270000000000,-44852.00000000000
455.0000000000,-18732.50000000000,-17611.30000000000,-25757.20000000000,-89816.10000000001,-140891.0000000000,-24191.90000000000,-26154.00000000000,-8197.639999999999,-10405.50000000000,-11017.90000000000,.000000000000000,-629.5920000000000,-1138.440000000000,-12475.40000000000,-7188.560000000000,.000000000000000,.000000000000000,-6813.400000000000,-9159.270000000000,-44852.00000000000
456.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
457.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
458.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
459.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
460.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
461.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
462.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
463.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
464.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
465.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
466.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
467.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
468.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
469.0000000000,-15114.80000000000,-23911.00000000000,-20809.60000000000,-110572.0000000000,-126676.0000000000,-28500.70000000000,-17195.80000000000,-7962.910000000000,-9148.209999999999,-8889.760000000000,-1621.990000000000,-1483.850000000000,-1154.110000000000,-39587.30000000000,-240.6250000000000,.000000000000000,.000000000000000,.000000000000000,-15453.50000000000,-38869.80000000000
