,Marina,Marina_norech,ERT-MW-1A,ERT-MW-1A_norech,ERT-MW-1B,ERT-MW-1B_norech,MillCreek,MillCreek_norech,ERT-MW-4B,ERT-MW-4B_norech,MW-PD-17,MW-PD-17_norech
2018-10-11 13:45:00.000003,3.769426366852986,3.769429068954993,13.75452996374562,12.30853603379256,14.51500767777193,13.16705307851371,12.01539623748079,9.880493083986352,16.37464064808245,14.98777617543666,20.54088739244898,18.87928756941069
2018-10-11 13:59:59.999997,3.378386884130733,3.378381996599892,13.72118393848989,12.27354810047345,14.47790622549896,13.12829557851757,11.95061182832041,9.81674397625263,16.3479792873515,14.95991850836328,20.53926408771964,18.87509370313334
2018-10-11 14:15:00.000000,2.963903518662443,2.963903111847903,13.68392926696463,12.23476104708966,14.43524737939507,13.08406854181508,11.88079601465782,9.748265398061813,16.31666070285447,14.92753500209772,20.53626305391627,18.86955454633329
2018-10-11 14:30:00.000003,2.5350556118602,2.535050030448277,13.64368640479844,12.19306541110039,14.38821678275516,13.03553586306965,11.80737712603658,9.676403925966058,16.28159649817339,14.89150852494163,20.53205646973827,18.86283630132322
2018-10-11 14:44:59.999997,2.105676627575796,2.105672351834119,13.60169117434229,12.14967527613611,14.33826764780845,12.98413421169386,11.73250946771332,9.603266850705875,16.24386529331719,14.85289621995479,20.52684985751352,18.85513829370215
2018-10-11 15:00:00.000000,1.664064232983213,1.664060462212595,13.55781699665745,12.10447543230958,14.28566734366072,12.93013737766866,11.65501550885916,9.527762951832942,16.20379007155271,14.81204355226224,20.52080237519063,18.84661993477511
2018-10-11 15:15:00.000003,1.226753106054984,1.226749356645969,13.5130684839548,12.05843778467068,14.23146276011076,12.87457252183526,11.5772323386363,9.452041570874236,16.1621948065667,14.76972477140944,20.51408849235568,18.83745113635435
2018-10-11 15:29:59.999997,0.7930924497216062,0.7930875873792321,13.4678444519367,12.01202102750759,14.17629485596672,12.81810028875615,11.49918636250163,9.376475917131947,16.11962535999621,14.72648040534448,20.50686622300254,18.82778753176513
2018-10-11 15:45:00.000000,0.3665713328583637,0.3666182613279002,13.42283151157566,11.96582561328331,14.12093648793012,12.76144332000682,11.42203772049042,9.301812453176817,16.07668554008051,14.68282951815319,20.49929234347828,18.81777077619039
2018-10-11 16:00:00.000003,-0.04048389171813502,-0.04048356833012282,13.37881464260172,11.92060171536323,14.0662825112827,12.70547800195681,11.34756851093034,9.229709769218795,16.03406450295715,14.63947692008411,20.49151994144943,18.80755466943372
2018-10-11 16:14:59.999997,-0.4339881965722011,-0.4339807046992811,13.33579757034972,11.87636251122852,14.01257771315918,12.65045900969507,11.27529416124246,9.159710397112077,15.99202927349835,14.59671282805783,20.48366709449994,18.79726174972034
2018-10-11 16:30:00.000000,-0.8005064769231015,-0.8005077059152713,13.29465817389869,11.83396123965255,13.96073482315758,12.59728263544497,11.20711313464699,9.093618738061366,15.95126886716868,14.55519240846543,20.47587465078088,18.78702917143171
2018-10-11 16:45:00.000003,-1.146160452650645,-1.146152328604397,13.25544458816694,11.79344122543513,13.91101518604843,12.54620363161681,11.14258144129624,9.030988201685732,15.91206039468231,14.515178351835,20.46825647830045,18.77696738206195
2018-10-11 16:59:59.999997,-1.462713547943197,-1.462715867929346,13.21910857188132,11.75572955966441,13.86426783943808,12.49805403721244,11.08352248527113,8.97355337145785,15.87496101800027,14.47719978316842,20.46093376309193,18.76719266725731
2018-10-11 17:15:00.000000,-1.751222357746103,-1.751219369508368,13.18657681313006,11.72173456943304,13.821285273,12.45361382900156,11.03123314666087,8.922547061721122,15.84044820016741,14.44171345898352,20.45402117648679,18.75781532804519
2018-10-11 17:30:00.000003,-2.011981786516736,-2.011986379562553,13.15708242785378,11.69071365527977,13.78181058228649,12.41263936785641,10.98412145892061,8.876538470884082,15.80856683863507,14.40880064585076,20.44759360539248,18.74891061691336
2018-10-11 17:44:59.999997,-2.225779013258233,-2.225785142503581,13.13140410664781,11.6635459025052,13.74669846199489,12.37608793258604,10.94427007048979,8.838136072970562,15.77998796646097,14.37935424365023,20.441762357213,18.74061030098519
2018-10-11 18:00:00.000000,-2.394823422072297,-2.394830425019792,13.10977433205162,11.6403489343534,13.71636580911017,12.3442831504745,10.91178471570389,8.806674049180215,15.7551121277782,14.35354067267604,20.43663512695091,18.73300813744278
2018-10-11 18:15:00.000003,-2.51173382942778,-2.511729598957965,13.09273472902523,11.62160181976078,13.69145074528691,12.31779985234194,10.88772413872501,8.783036638916412,15.73445154822849,14.33175509151481,20.43232736606065,18.72620429167469
2018-10-11 18:29:59.999997,-2.56362181796603,-2.563564222445232,13.08122119979497,11.60819284335731,13.67297857976225,12.29761749788781,10.87399093104966,8.768980702539078,15.71878967180255,14.31470352521944,20.42898346177124,18.72032875380447
2018-10-11 18:45:00.000000,-2.546193333315636,-2.54614051206375,13.07587043156641,11.60072605394874,13.6617659207735,12.28451989590097,10.87154475635716,8.765377007359914,15.70879513978569,14.30300461933251,20.42675378928578,18.71552178218588
2018-10-11 19:00:00.000003,-2.453615844474318,-2.453648953328017,13.07732089636634,11.59980683706815,13.65862281359067,12.27928506885779,10.88141714518633,8.773158821878868,15.70512167503788,14.29726523599001,20.42579415524355,18.71192725085542
2018-10-11 19:14:59.999997,-2.269735127367288,-2.269737385711404,13.0867644438221,11.60659536399064,13.66486803232557,12.28320625803055,10.90597363306101,8.79456370424032,15.70875582387862,14.29841793105427,20.42628952695625,18.70972167637931
2018-10-11 19:30:00.000000,-2.004337218904289,-2.004351837324592,13.10422414218755,11.62110362390095,13.68082062491426,12.29658905285453,10.94448560696562,8.828854076631519,15.72005331919108,14.30680264397426,20.42839086409231,18.70904974122319
2018-10-11 19:45:00.000003,-1.667636736098909,-1.667649864652665,13.12939573014616,11.64303754454633,13.70637680854813,12.3193313767448,10.99571072645921,8.874861989361818,15.73896257275918,14.32238014494071,20.43218798591538,18.70999812057311
2018-10-11 19:59:59.999997,-1.283682436598178,-1.283694236420343,13.16139116099659,11.67154747174325,13.74061634065442,12.35054145947279,11.0571543810309,8.930258361510566,15.76479160962239,14.34451556372364,20.43767628687601,18.7125678449176
2018-10-11 20:15:00.000000,-0.8720578991596135,-0.8720651228664377,13.20061111997819,11.70705572620708,13.7831111267743,12.38981503772098,11.1290019354487,8.995305689134259,15.79683151736473,14.37255041235647,20.44478114417359,18.716690944517
