time,MILLCREEK0,MILLCREEK1,MILLCREEK2,MILLCREEK3,MILLCREEK4,MILLCREEK5,MILLCREEK6,MILLCREEK7
421.0000000000,-12018.25031711537,-9370.133925275240,-10556.72266759900,-9400.364646147120,-9284.192914114228,-6286.588802699470,.000000000000000,.000000000000000
422.0000000000,-11172.00343258997,-8492.395806970004,-9905.913819079622,-9361.529929216904,-9247.980727695653,-6249.028961240733,.000000000000000,.000000000000000
423.0000000000,-11149.90639885138,-8466.959411148047,-9868.452309568240,-9323.434110102840,-9213.601555926925,-6215.031751873526,.000000000000000,.000000000000000
424.0000000000,-11129.99633465737,-8444.905245169200,-9843.519965995074,-9286.972572285826,-9180.787004871143,-6183.594104780847,.000000000000000,.000000000000000
425.0000000000,-13408.17805776699,-10830.71399237964,-11929.50849034411,-9830.159476111814,-9693.499141451211,-6698.041304278121,.000000000000000,.000000000000000
426.0000000000,-13692.08452230714,-11119.23906775322,-12261.85878636750,-10309.94038003818,-10147.65699028120,-7142.005378696006,.000000000000000,.000000000000000
427.0000000000,-11734.90280320332,-9070.587256419882,-10692.67135946932,-10242.88583922842,-10089.42986571009,-7077.411417820186,.000000000000000,.000000000000000
428.0000000000,-11703.65880903778,-9030.414597010309,-10624.46352636838,-10177.00784849648,-10034.70758419297,-7021.235395527515,.000000000000000,.000000000000000
429.0000000000,-11675.41380731684,-8995.076764318334,-10566.05457672406,-10114.60846110890,-9982.939965793372,-6971.078439267013,.000000000000000,.000000000000000
430.0000000000,-11648.65610541782,-8962.634988264008,-10514.16781141993,-10056.11855835810,-9933.770647871135,-6925.356815161226,.000000000000000,.000000000000000
431.0000000000,-13519.67780796865,-10919.47557829013,-12106.22420530509,-10437.61574000850,-10298.83008559580,-7286.245388158029,.000000000000000,.000000000000000
432.0000000000,-11841.06843666845,-9164.209030581180,-10796.68029776534,-10370.68260297933,-10239.36113842334,-7228.714695158712,.000000000000000,.000000000000000
433.0000000000,-11812.94855514590,-9128.717402191111,-10736.88234169841,-10306.39564531843,-10183.59314046638,-7176.851586321848,.000000000000000,.000000000000000
434.0000000000,-11787.96226589531,-9097.630921585360,-10684.89873033791,-10246.00800843619,-10131.11295219526,-7129.264548107184,.000000000000000,.000000000000000
435.0000000000,-11766.62446365878,-9070.942615560129,-10639.78792280916,-10190.16004708396,-10081.87520744301,-7085.209215911112,.000000000000000,.000000000000000
436.0000000000,-11935.05808005348,-9234.963488086538,-10754.56102068012,-10178.79881301782,-10073.07303432810,-7081.436800029936,.000000000000000,.000000000000000
437.0000000000,-12312.01485479371,-9624.813614252755,-11057.88819970571,-10248.28972199871,-10138.60774277297,-7149.966594941769,.000000000000000,.000000000000000
438.0000000000,-11795.53672143413,-9094.789753172243,-10661.74791372756,-10198.36617586781,-10092.21879341682,-7106.174519361918,.000000000000000,.000000000000000
439.0000000000,-11769.73107876505,-9065.786684569533,-10619.20781091838,-10150.68398761693,-10048.16399030254,-7065.345283791595,.000000000000000,.000000000000000
440.0000000000,-11745.10851438746,-9038.577386190036,-10579.92234274460,-10105.44664578273,-10006.14278520814,-7026.779340425383,.000000000000000,.000000000000000
441.0000000000,-11721.62202661609,-9013.065435800780,-10543.96702398043,-10062.95897692537,-9966.066971323058,-6990.060005097396,.000000000000000,.000000000000000
442.0000000000,-11698.82621121378,-8988.605357298764,-10509.83124774721,-10022.79414411550,-9927.725825609743,-6954.869766056364,.000000000000000,.000000000000000
443.0000000000,-11676.59767338752,-8964.996743359470,-10477.09911719103,-9984.526379494999,-9890.916609349824,-6920.971200375768,.000000000000000,.000000000000000
444.0000000000,-11654.98081408879,-8942.264927169872,-10445.89614393965,-9947.986056059392,-9855.512783316275,-6888.199378879071,.000000000000000,.000000000000000
445.0000000000,-11633.91952572570,-8920.312163885419,-10416.04134624758,-9913.026165071462,-9821.408433903036,-6856.434344368471,.000000000000000,.000000000000000
